type,_id,discipline,city,gender,country,year,sport,medal,event
olympics,59f308051f0d6766995d3c2d,Nordic Combined,St. Moritz,M,NOR,1928,Skiing,Gold,individual
olympics,59f308051f0d6766995d3c2e,Cross Country S,St. Moritz,M,SWE,1928,Skiing,Silver,50km
olympics,59f308051f0d6766995d3c2f,Curling,Chamonix,M,SWE,1924,Curling,Silver,curling
olympics,59f308051f0d6766995d3c30,Biathlon,Chamonix,M,FIN,1924,Biathlon,Silver,military patrol
olympics,59f308051f0d6766995d3c31,Bobsleigh,St. Moritz,M,USA,1928,Bobsleigh,Silver,five-man
olympics,59f308051f0d6766995d3c32,Skeleton,St. Moritz,M,USA,1928,Bobsleigh,Gold,individual
olympics,59f308051f0d6766995d3c33,Cross Country S,St. Moritz,M,NOR,1928,Skiing,Silver,18km
olympics,59f308051f0d6766995d3c34,Speed skating,Lake Placid,M,CAN,1932,Skating,Bronze,5000m
olympics,59f308051f0d6766995d3c35,Cross Country S,Chamonix,M,NOR,1924,Skiing,Bronze,50km
olympics,59f308051f0d6766995d3c36,Figure skating,Lake Placid,M,CAN,1932,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c37,Ice Hockey,Lake Placid,M,CAN,1932,Ice Hockey,Gold,ice hockey
olympics,59f308051f0d6766995d3c38,Cross Country S,Lake Placid,M,FIN,1932,Skiing,Gold,50km
olympics,59f308051f0d6766995d3c39,Figure skating,Lake Placid,W,AUT,1932,Skating,Silver,individual
olympics,59f308051f0d6766995d3c3a,Ski Jumping,St. Moritz,M,TCH,1928,Skiing,Bronze,K90 individual (70m)
olympics,59f308051f0d6766995d3c3b,Cross Country S,Lake Placid,M,SWE,1932,Skiing,Silver,18km
olympics,59f308051f0d6766995d3c3c,Figure skating,St. Moritz,W,USA,1928,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c3d,Figure skating,Lake Placid,M,AUT,1932,Skating,Gold,individual
olympics,59f308051f0d6766995d3c3e,Bobsleigh,Lake Placid,M,USA,1932,Bobsleigh,Silver,four-man
olympics,59f308051f0d6766995d3c3f,Skeleton,St. Moritz,M,USA,1928,Bobsleigh,Silver,individual
olympics,59f308051f0d6766995d3c40,Ski Jumping,St. Moritz,M,NOR,1928,Skiing,Gold,K90 individual (70m)
olympics,59f308051f0d6766995d3c41,Figure skating,Chamonix,M,SUI,1924,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c42,Cross Country S,Lake Placid,M,FIN,1932,Skiing,Bronze,18km
olympics,59f308051f0d6766995d3c43,Bobsleigh,Lake Placid,M,USA,1932,Bobsleigh,Bronze,two-man
olympics,59f308051f0d6766995d3c44,Speed skating,Lake Placid,M,USA,1932,Skating,Gold,10000m
olympics,59f308051f0d6766995d3c45,Nordic Combined,Lake Placid,M,NOR,1932,Skiing,Bronze,individual
olympics,59f308051f0d6766995d3c46,Speed skating,Garmisch-Partenkirchen,M,AUT,1936,Skating,Bronze,10000m
olympics,59f308051f0d6766995d3c47,Figure skating,Lake Placid,W,USA,1932,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c48,Ice Hockey,Garmisch-Partenkirchen,M,CAN,1936,Ice Hockey,Silver,ice hockey
olympics,59f308051f0d6766995d3c49,Cross Country S,Lake Placid,M,SWE,1932,Skiing,Gold,18km
olympics,59f308051f0d6766995d3c4a,Bobsleigh,Lake Placid,M,USA,1932,Bobsleigh,Gold,four-man
olympics,59f308051f0d6766995d3c4b,Speed skating,Garmisch-Partenkirchen,M,FIN,1936,Skating,Silver,10000m
olympics,59f308051f0d6766995d3c4c,Cross Country S,St. Moritz,M,SWE,1928,Skiing,Bronze,50km
olympics,59f308051f0d6766995d3c4d,Cross Country S,Lake Placid,M,NOR,1932,Skiing,Bronze,50km
olympics,59f308051f0d6766995d3c4e,Speed skating,Lake Placid,M,CAN,1932,Skating,Bronze,10000m
olympics,59f308051f0d6766995d3c4f,Speed skating,Garmisch-Partenkirchen,M,FIN,1936,Skating,Silver,5000m
olympics,59f308051f0d6766995d3c50,Bobsleigh,Lake Placid,M,SUI,1932,Bobsleigh,Silver,two-man
olympics,59f308051f0d6766995d3c51,Figure skating,Garmisch-Partenkirchen,M,AUT,1936,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c52,Alpine Skiing,Garmisch-Partenkirchen,M,GER,1936,Skiing,Gold,alpine combined
olympics,59f308051f0d6766995d3c53,Figure skating,Garmisch-Partenkirchen,X,GER,1936,Skating,Gold,pairs
olympics,59f308051f0d6766995d3c54,Figure skating,Garmisch-Partenkirchen,W,NOR,1936,Skating,Gold,individual
olympics,59f308051f0d6766995d3c55,Alpine Skiing,Garmisch-Partenkirchen,M,GER,1936,Skiing,Silver,alpine combined
olympics,59f308051f0d6766995d3c56,Speed skating,Garmisch-Partenkirchen,M,NOR,1936,Skating,Gold,10000m
olympics,59f308051f0d6766995d3c57,Speed skating,Garmisch-Partenkirchen,M,FIN,1936,Skating,Bronze,1500m
olympics,59f308051f0d6766995d3c58,Figure skating,Garmisch-Partenkirchen,W,GBR,1936,Skating,Silver,individual
olympics,59f308051f0d6766995d3c59,Bobsleigh,St. Moritz,M,USA,1928,Bobsleigh,Gold,five-man
olympics,59f308051f0d6766995d3c5a,Alpine Skiing,Garmisch-Partenkirchen,M,FRA,1936,Skiing,Bronze,alpine combined
olympics,59f308051f0d6766995d3c5b,Figure skating,Garmisch-Partenkirchen,X,AUT,1936,Skating,Silver,pairs
olympics,59f308051f0d6766995d3c5c,Figure skating,Garmisch-Partenkirchen,X,HUN,1936,Skating,Bronze,pairs
olympics,59f308051f0d6766995d3c5d,Speed skating,Lake Placid,M,USA,1932,Skating,Gold,500m
olympics,59f308051f0d6766995d3c5e,Cross Country S,Garmisch-Partenkirchen,M,FIN,1936,Skiing,Gold,4x10km relay
olympics,59f308051f0d6766995d3c5f,Alpine Skiing,Garmisch-Partenkirchen,W,NOR,1936,Skiing,Bronze,alpine combined
olympics,59f308051f0d6766995d3c60,Bobsleigh,Garmisch-Partenkirchen,M,SUI,1936,Bobsleigh,Silver,two-man
olympics,59f308051f0d6766995d3c61,Speed skating,Garmisch-Partenkirchen,M,NOR,1936,Skating,Silver,1500m
olympics,59f308051f0d6766995d3c62,Cross Country S,Garmisch-Partenkirchen,M,NOR,1936,Skiing,Silver,4x10km relay
olympics,59f308051f0d6766995d3c63,Cross Country S,Garmisch-Partenkirchen,M,NOR,1936,Skiing,Silver,18km
olympics,59f308051f0d6766995d3c64,Bobsleigh,Garmisch-Partenkirchen,M,USA,1936,Bobsleigh,Gold,two-man
olympics,59f308051f0d6766995d3c65,Bobsleigh,St. Moritz,M,BEL,1948,Bobsleigh,Silver,four-man
olympics,59f308051f0d6766995d3c66,Speed skating,Garmisch-Partenkirchen,M,NOR,1936,Skating,Gold,5000m
olympics,59f308051f0d6766995d3c67,Speed skating,Garmisch-Partenkirchen,M,NOR,1936,Skating,Gold,1500m
olympics,59f308051f0d6766995d3c68,Speed skating,Garmisch-Partenkirchen,M,NOR,1936,Skating,Silver,500m
olympics,59f308051f0d6766995d3c69,Figure skating,St. Moritz,M,AUT,1948,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c6a,Nordic Combined,Garmisch-Partenkirchen,M,NOR,1936,Skiing,Silver,individual
olympics,59f308051f0d6766995d3c6b,Alpine Skiing,St. Moritz,W,AUT,1948,Skiing,Gold,alpine combined
olympics,59f308051f0d6766995d3c6c,Nordic Combined,St. Moritz,M,FIN,1948,Skiing,Gold,individual
olympics,59f308051f0d6766995d3c6d,Nordic Combined,St. Moritz,M,FIN,1948,Skiing,Silver,individual
olympics,59f308051f0d6766995d3c6e,Figure skating,St. Moritz,W,CAN,1948,Skating,Gold,individual
olympics,59f308051f0d6766995d3c6f,Figure skating,St. Moritz,X,BEL,1948,Skating,Gold,pairs
olympics,59f308051f0d6766995d3c70,Nordic Combined,Garmisch-Partenkirchen,M,NOR,1936,Skiing,Bronze,individual
olympics,59f308051f0d6766995d3c71,Alpine Skiing,St. Moritz,M,FRA,1948,Skiing,Gold,downhill
olympics,59f308051f0d6766995d3c72,Cross Country S,Garmisch-Partenkirchen,M,SWE,1936,Skiing,Gold,50km
olympics,59f308051f0d6766995d3c73,Ice Hockey,St. Moritz,M,CAN,1948,Ice Hockey,Gold,ice hockey
olympics,59f308051f0d6766995d3c74,Alpine Skiing,St. Moritz,W,AUT,1948,Skiing,Bronze,slalom
olympics,59f308051f0d6766995d3c75,Skeleton,St. Moritz,M,GBR,1948,Bobsleigh,Bronze,individual
olympics,59f308051f0d6766995d3c76,Alpine Skiing,St. Moritz,M,FRA,1948,Skiing,Bronze,alpine combined
olympics,59f308051f0d6766995d3c77,Alpine Skiing,St. Moritz,M,FRA,1948,Skiing,Silver,slalom
olympics,59f308051f0d6766995d3c78,Speed skating,St. Moritz,M,NOR,1948,Skating,Silver,5000m
olympics,59f308051f0d6766995d3c79,Figure skating,St. Moritz,X,HUN,1948,Skating,Silver,pairs
olympics,59f308051f0d6766995d3c7a,Speed skating,St. Moritz,M,NOR,1948,Skating,Gold,1500m
olympics,59f308051f0d6766995d3c7b,Figure skating,St. Moritz,W,AUT,1948,Skating,Silver,individual
olympics,59f308051f0d6766995d3c7c,Figure skating,St. Moritz,W,GBR,1948,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c7d,Ski Jumping,St. Moritz,M,NOR,1948,Skiing,Bronze,K90 individual (70m)
olympics,59f308051f0d6766995d3c7e,Cross Country S,St. Moritz,M,FIN,1948,Skiing,Silver,4x10km relay
olympics,59f308051f0d6766995d3c7f,Alpine Skiing,St. Moritz,M,SUI,1948,Skiing,Bronze,downhill
olympics,59f308051f0d6766995d3c80,Bobsleigh,St. Moritz,M,SUI,1948,Bobsleigh,Gold,two-man
olympics,59f308051f0d6766995d3c81,Speed skating,St. Moritz,M,FIN,1948,Skating,Silver,10000m
olympics,59f308051f0d6766995d3c82,Speed skating,Garmisch-Partenkirchen,M,NOR,1936,Skating,Gold,500m
olympics,59f308051f0d6766995d3c83,Bobsleigh,St. Moritz,M,USA,1948,Bobsleigh,Bronze,four-man
olympics,59f308051f0d6766995d3c84,Figure skating,Garmisch-Partenkirchen,W,SWE,1936,Skating,Bronze,individual
olympics,59f308051f0d6766995d3c85,Ski Jumping,St. Moritz,M,NOR,1948,Skiing,Gold,K90 individual (70m)
olympics,59f308051f0d6766995d3c86,Figure skating,St. Moritz,X,CAN,1948,Skating,Bronze,pairs
olympics,59f308051f0d6766995d3c87,Alpine Skiing,St. Moritz,W,AUT,1948,Skiing,Bronze,downhill
olympics,59f308051f0d6766995d3c88,Cross Country S,St. Moritz,M,SWE,1948,Skiing,Bronze,18km
olympics,59f308051f0d6766995d3c89,Nordic Combined,St. Moritz,M,SWE,1948,Skiing,Bronze,individual
olympics,59f308051f0d6766995d3c8a,Cross Country S,Oslo,W,FIN,1952,Skiing,Silver,10km
olympics,59f308051f0d6766995d3c8b,Speed skating,St. Moritz,M,NOR,1948,Skating,Silver,500m
olympics,59f308051f0d6766995d3c8c,Nordic Combined,Oslo,M,FIN,1952,Skiing,Silver,individual
olympics,59f308051f0d6766995d3c8d,Bobsleigh,St. Moritz,M,USA,1948,Bobsleigh,Gold,four-man
olympics,59f308051f0d6766995d3c8e,Bobsleigh,St. Moritz,M,SUI,1948,Bobsleigh,Silver,two-man
olympics,59f308051f0d6766995d3c8f,Cross Country S,Oslo,W,FIN,1952,Skiing,Bronze,10km
olympics,59f308051f0d6766995d3c90,Alpine Skiing,St. Moritz,W,USA,1948,Skiing,Gold,slalom
olympics,59f308051f0d6766995d3c91,Alpine Skiing,Oslo,W,GER,1952,Skiing,Silver,slalom
olympics,59f308051f0d6766995d3c92,Alpine Skiing,St. Moritz,M,FRA,1948,Skiing,Bronze,slalom
olympics,59f308051f0d6766995d3c93,Alpine Skiing,St. Moritz,M,FRA,1948,Skiing,Gold,alpine combined
olympics,59f308051f0d6766995d3c94,Bobsleigh,Oslo,M,FRG,1952,Bobsleigh,Gold,two-man
olympics,59f308051f0d6766995d3c95,Speed skating,Oslo,M,NED,1952,Skating,Silver,5000m
olympics,59f308051f0d6766995d3c96,Speed skating,Oslo,M,CAN,1952,Skating,Bronze,500m
olympics,59f308051f0d6766995d3c97,Alpine Skiing,Oslo,W,GER,1952,Skiing,Bronze,giant slalom
olympics,59f308051f0d6766995d3c98,Alpine Skiing,Oslo,M,AUT,1952,Skiing,Gold,slalom
olympics,59f308051f0d6766995d3c99,Figure skating,Oslo,X,GER,1952,Skating,Gold,pairs
olympics,59f308051f0d6766995d3c9a,Bobsleigh,Oslo,M,FRG,1952,Bobsleigh,Gold,four-man
olympics,59f308051f0d6766995d3c9b,Cross Country S,St. Moritz,M,NOR,1948,Skiing,Bronze,4x10km relay
olympics,59f308051f0d6766995d3c9c,Speed skating,Oslo,M,NED,1952,Skating,Silver,10000m
olympics,59f308051f0d6766995d3c9d,Speed skating,Oslo,M,NOR,1952,Skating,Bronze,5000m
olympics,59f308051f0d6766995d3c9e,Cross Country S,Oslo,M,NOR,1952,Skiing,Gold,18km
olympics,59f308051f0d6766995d3c9f,Speed skating,Oslo,M,NOR,1952,Skating,Gold,10000m
olympics,59f308051f0d6766995d3ca0,Cross Country S,Oslo,M,FIN,1952,Skiing,Silver,18km
olympics,59f308051f0d6766995d3ca1,Cross Country S,Oslo,M,NOR,1952,Skiing,Bronze,50km
olympics,59f308051f0d6766995d3ca2,Bobsleigh,Oslo,M,SUI,1952,Bobsleigh,Bronze,two-man
olympics,59f308051f0d6766995d3ca3,Alpine Skiing,Oslo,M,NOR,1952,Skiing,Gold,giant slalom
olympics,59f308051f0d6766995d3ca4,Ice Hockey,Oslo,M,CAN,1952,Ice Hockey,Gold,ice hockey
olympics,59f308051f0d6766995d3ca5,Nordic Combined,Oslo,M,NOR,1952,Skiing,Gold,individual
olympics,59f308051f0d6766995d3ca6,Ski Jumping,Oslo,M,NOR,1952,Skiing,Silver,K90 individual (70m)
olympics,59f308051f0d6766995d3ca7,Speed skating,Oslo,M,NOR,1952,Skating,Bronze,500m
olympics,59f308051f0d6766995d3ca8,Cross Country S,Oslo,M,SWE,1952,Skiing,Bronze,4x10km relay
olympics,59f308051f0d6766995d3ca9,Ski Jumping,Oslo,M,SWE,1952,Skiing,Bronze,K90 individual (70m)
olympics,59f308051f0d6766995d3caa,Alpine Skiing,Oslo,W,GER,1952,Skiing,Bronze,slalom
olympics,59f308051f0d6766995d3cab,Speed skating,Oslo,M,NOR,1952,Skating,Gold,5000m
olympics,59f308051f0d6766995d3cac,Bobsleigh,Oslo,M,USA,1952,Bobsleigh,Silver,two-man
olympics,59f308051f0d6766995d3cad,Ice Hockey,Oslo,M,USA,1952,Ice Hockey,Silver,ice hockey
olympics,59f308051f0d6766995d3cae,Ice Hockey,St. Moritz,M,SUI,1948,Ice Hockey,Bronze,ice hockey
olympics,59f308051f0d6766995d3caf,Figure skating,Oslo,X,USA,1952,Skating,Silver,pairs
olympics,59f308051f0d6766995d3cb0,Alpine Skiing,Cortina d'Ampezzo,W,AUT,1956,Skiing,Silver,slalom
olympics,59f308051f0d6766995d3cb1,Alpine Skiing,Oslo,W,USA,1952,Skiing,Gold,slalom
olympics,59f308051f0d6766995d3cb2,Figure skating,Oslo,M,USA,1952,Skating,Bronze,individual
olympics,59f308051f0d6766995d3cb3,Ski Jumping,Cortina d'Ampezzo,M,EUA,1956,Skiing,Bronze,K90 individual (70m)
olympics,59f308051f0d6766995d3cb4,Alpine Skiing,Oslo,M,NOR,1952,Skiing,Silver,slalom
olympics,59f308051f0d6766995d3cb5,Speed skating,Oslo,M,USA,1952,Skating,Silver,500m
olympics,59f308051f0d6766995d3cb6,Cross Country S,Cortina d'Ampezzo,M,FIN,1956,Skiing,Silver,4x10km relay
olympics,59f308051f0d6766995d3cb7,Alpine Skiing,Cortina d'Ampezzo,W,CAN,1956,Skiing,Bronze,downhill
olympics,59f308051f0d6766995d3cb8,Alpine Skiing,Cortina d'Ampezzo,M,AUT,1956,Skiing,Bronze,downhill
olympics,59f308051f0d6766995d3cb9,Ski Jumping,Cortina d'Ampezzo,M,FIN,1956,Skiing,Silver,K90 individual (70m)
olympics,59f308051f0d6766995d3cba,Alpine Skiing,Cortina d'Ampezzo,W,EUA,1956,Skiing,Gold,giant slalom
olympics,59f308051f0d6766995d3cbb,Cross Country S,Cortina d'Ampezzo,W,FIN,1956,Skiing,Gold,3x5km relay
olympics,59f308051f0d6766995d3cbc,Bobsleigh,Cortina d'Ampezzo,M,ITA,1956,Bobsleigh,Silver,four-man
olympics,59f308051f0d6766995d3cbd,Figure skating,Cortina d'Ampezzo,X,HUN,1956,Skating,Bronze,pairs
olympics,59f308051f0d6766995d3cbe,Speed skating,Oslo,M,NOR,1952,Skating,Gold,1500m
olympics,59f308051f0d6766995d3cbf,Bobsleigh,Oslo,M,USA,1952,Bobsleigh,Silver,four-man
olympics,59f308051f0d6766995d3cc0,Alpine Skiing,Cortina d'Ampezzo,M,AUT,1956,Skiing,Bronze,giant slalom
olympics,59f308051f0d6766995d3cc1,Ice Hockey,Cortina d'Ampezzo,M,CAN,1956,Ice Hockey,Bronze,ice hockey
olympics,59f308051f0d6766995d3cc2,Speed skating,Cortina d'Ampezzo,M,FIN,1956,Skating,Bronze,1500m
olympics,59f308051f0d6766995d3cc3,Figure skating,Cortina d'Ampezzo,X,AUT,1956,Skating,Gold,pairs
olympics,59f308051f0d6766995d3cc4,Alpine Skiing,Oslo,W,USA,1952,Skiing,Gold,giant slalom
olympics,59f308051f0d6766995d3cc5,Bobsleigh,Cortina d'Ampezzo,M,ITA,1956,Bobsleigh,Gold,two-man
olympics,59f308051f0d6766995d3cc6,Bobsleigh,Cortina d'Ampezzo,M,SUI,1956,Bobsleigh,Gold,four-man
olympics,59f308051f0d6766995d3cc7,Cross Country S,Cortina d'Ampezzo,M,NOR,1956,Skiing,Gold,15km
olympics,59f308051f0d6766995d3cc8,Speed skating,Cortina d'Ampezzo,M,SWE,1956,Skating,Gold,10000m
olympics,59f308051f0d6766995d3cc9,Alpine Skiing,Cortina d'Ampezzo,M,JPN,1956,Skiing,Silver,slalom
olympics,59f308051f0d6766995d3cca,Cross Country S,Cortina d'Ampezzo,M,SWE,1956,Skiing,Silver,30km mass start
olympics,59f308051f0d6766995d3ccb,Alpine Skiing,Cortina d'Ampezzo,W,SUI,1956,Skiing,Gold,downhill
olympics,59f308051f0d6766995d3ccc,Bobsleigh,Cortina d'Ampezzo,M,SUI,1956,Bobsleigh,Bronze,two-man
olympics,59f308051f0d6766995d3ccd,Speed skating,Oslo,M,NOR,1952,Skating,Bronze,1500m
olympics,59f308051f0d6766995d3cce,Speed skating,Cortina d'Ampezzo,M,SWE,1956,Skating,Silver,5000m
olympics,59f308051f0d6766995d3ccf,Alpine Skiing,Cortina d'Ampezzo,W,SUI,1956,Skiing,Silver,downhill
olympics,59f308051f0d6766995d3cd0,Ice Hockey,Cortina d'Ampezzo,M,URS,1956,Ice Hockey,Gold,ice hockey
olympics,59f308051f0d6766995d3cd1,Alpine Skiing,Cortina d'Ampezzo,M,AUT,1956,Skiing,Silver,giant slalom
olympics,59f308051f0d6766995d3cd2,Alpine Skiing,Cortina d'Ampezzo,W,SUI,1956,Skiing,Gold,slalom
olympics,59f308051f0d6766995d3cd3,Speed skating,Cortina d'Ampezzo,M,URS,1956,Skating,Silver,500m
olympics,59f308051f0d6766995d3cd4,Cross Country S,Cortina d'Ampezzo,M,SWE,1956,Skiing,Bronze,4x10km relay
olympics,59f308051f0d6766995d3cd5,Ice Hockey,Cortina d'Ampezzo,M,USA,1956,Ice Hockey,Silver,ice hockey
olympics,59f308051f0d6766995d3cd6,Speed skating,Cortina d'Ampezzo,M,URS,1956,Skating,Gold,500m
olympics,59f308051f0d6766995d3cd7,Figure skating,Cortina d'Ampezzo,M,USA,1956,Skating,Silver,individual
olympics,59f308051f0d6766995d3cd8,Cross Country S,Cortina d'Ampezzo,M,URS,1956,Skiing,Bronze,30km mass start
olympics,59f308051f0d6766995d3cd9,Figure skating,Cortina d'Ampezzo,M,USA,1956,Skating,Bronze,individual
olympics,59f308051f0d6766995d3cda,Alpine Skiing,Squaw Valley,M,AUT,1960,Skiing,Silver,giant slalom
olympics,59f308051f0d6766995d3cdb,Cross Country S,Cortina d'Ampezzo,W,URS,1956,Skiing,Gold,10km
olympics,59f308051f0d6766995d3cdc,Speed skating,Cortina d'Ampezzo,M,NOR,1956,Skating,Bronze,500m
olympics,59f308051f0d6766995d3cdd,Alpine Skiing,Squaw Valley,M,AUT,1960,Skiing,Bronze,giant slalom
olympics,59f308051f0d6766995d3cde,Alpine Skiing,Squaw Valley,W,AUT,1960,Skiing,Bronze,downhill
olympics,59f308051f0d6766995d3cdf,Ski Jumping,Cortina d'Ampezzo,M,FIN,1956,Skiing,Gold,K90 individual (70m)
olympics,59f308051f0d6766995d3ce0,Alpine Skiing,Squaw Valley,M,AUT,1960,Skiing,Silver,slalom
olympics,59f308051f0d6766995d3ce1,Cross Country S,Cortina d'Ampezzo,M,URS,1956,Skiing,Gold,4x10km relay
olympics,59f308051f0d6766995d3ce2,Ski Jumping,Squaw Valley,M,AUT,1960,Skiing,Bronze,K90 individual (70m)
olympics,59f308051f0d6766995d3ce3,Cross Country S,Squaw Valley,M,FIN,1960,Skiing,Gold,50km
olympics,59f308051f0d6766995d3ce4,Alpine Skiing,Squaw Valley,M,FRA,1960,Skiing,Bronze,downhill
olympics,59f308051f0d6766995d3ce5,Alpine Skiing,Squaw Valley,M,FRA,1960,Skiing,Gold,downhill
olympics,59f308051f0d6766995d3ce6,Alpine Skiing,Cortina d'Ampezzo,W,URS,1956,Skiing,Bronze,slalom
olympics,59f308051f0d6766995d3ce7,Speed skating,Squaw Valley,M,NOR,1960,Skating,Gold,1500m
olympics,59f308051f0d6766995d3ce8,Ski Jumping,Squaw Valley,M,EUA,1960,Skiing,Gold,K90 individual (70m)
olympics,59f308051f0d6766995d3ce9,Alpine Skiing,Squaw Valley,W,EUA,1960,Skiing,Bronze,slalom
olympics,59f308051f0d6766995d3cea,Speed skating,Squaw Valley,M,SWE,1960,Skating,Bronze,10000m
olympics,59f308051f0d6766995d3ceb,Bobsleigh,Cortina d'Ampezzo,M,ITA,1956,Bobsleigh,Silver,two-man
olympics,59f308051f0d6766995d3cec,Figure skating,Cortina d'Ampezzo,W,USA,1956,Skating,Gold,individual
olympics,59f308051f0d6766995d3ced,Alpine Skiing,Squaw Valley,M,EUA,1960,Skiing,Silver,downhill
olympics,59f308051f0d6766995d3cee,Figure skating,Squaw Valley,W,NED,1960,Skating,Silver,individual
olympics,59f308051f0d6766995d3cef,Figure skating,Cortina d'Ampezzo,W,USA,1956,Skating,Silver,individual
olympics,59f308051f0d6766995d3cf0,Nordic Combined,Squaw Valley,M,NOR,1960,Skiing,Silver,individual
olympics,59f308051f0d6766995d3cf1,Figure skating,Squaw Valley,M,TCH,1960,Skating,Silver,individual
olympics,59f308051f0d6766995d3cf2,Speed skating,Squaw Valley,W,POL,1960,Skating,Silver,1500m
olympics,59f308051f0d6766995d3cf3,Speed skating,Squaw Valley,W,URS,1960,Skating,Gold,3000m
olympics,59f308051f0d6766995d3cf4,Cross Country S,Squaw Valley,M,SWE,1960,Skiing,Gold,30km mass start
olympics,59f308051f0d6766995d3cf5,Alpine Skiing,Squaw Valley,W,SUI,1960,Skiing,Gold,giant slalom
olympics,59f308051f0d6766995d3cf6,Speed skating,Squaw Valley,W,POL,1960,Skating,Bronze,1500m
olympics,59f308051f0d6766995d3cf7,Cross Country S,Squaw Valley,M,SWE,1960,Skiing,Silver,15km
olympics,59f308051f0d6766995d3cf8,Biathlon,Squaw Valley,M,FIN,1960,Biathlon,Silver,20km
olympics,59f308051f0d6766995d3cf9,Cross Country S,Squaw Valley,W,URS,1960,Skiing,Silver,3x5km relay
olympics,59f308051f0d6766995d3cfa,Speed skating,Squaw Valley,W,URS,1960,Skating,Silver,500m
